timestamp,arbitration_id,dlc,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7
0.0009031429999595275,0x100,2,71,0,,,,,,
0.0023952230003487784,0x300,1,16,,,,,,,
0.009781644001122913,0x100,2,72,0,,,,,,
0.010055541000838275,0x80,2,238,7,,,,,,
0.012493442000049981,0x300,1,17,,,,,,,
0.02013488600096025,0x100,2,73,0,,,,,,
0.02049107700077002,0x80,2,248,7,,,,,,
0.022325785001157783,0x300,1,18,,,,,,,
0.02933988800032239,0x100,2,74,0,,,,,,
0.029988997999680578,0x80,2,2,8,,,,,,
0.032192601000133436,0x300,1,12,,,,,,,
0.04069409700059623,0x80,2,12,8,,,,,,
0.04078793799999403,0x100,2,75,0,,,,,,
0.042914259000099264,0x300,1,13,,,,,,,
0.049580894999962766,0x100,2,76,0,,,,,,
0.049660771001072135,0x80,2,22,8,,,,,,
0.05225743700066232,0x300,1,14,,,,,,,
0.06464004900044529,0x100,2,77,0,,,,,,
0.06558392999977514,0x80,2,32,8,,,,,,
0.065627066000161,0x300,1,14,,,,,,,
0.07063701500010211,0x100,2,78,0,,,,,,
0.0708117089998268,0x80,2,42,8,,,,,,
0.07226815499961958,0x300,1,14,,,,,,,
0.07955057000071974,0x100,2,79,0,,,,,,
0.08005256599972199,0x80,2,52,8,,,,,,
0.08268624800075486,0x300,1,15,,,,,,,
0.0897436880004534,0x100,2,80,0,,,,,,
0.0897991820002062,0x80,2,62,8,,,,,,
0.09222807500009367,0x300,1,16,,,,,,,
0.0997673889996804,0x100,2,81,0,,,,,,
0.099836008001148,0x80,2,72,8,,,,,,
0.1020637239998905,0x300,1,16,,,,,,,
0.10987644800115959,0x100,2,82,0,,,,,,
0.11052770800051803,0x80,2,82,8,,,,,,
0.11518625300050189,0x300,1,16,,,,,,,
0.12131457100076659,0x100,2,83,0,,,,,,
0.12256013300066115,0x80,2,92,8,,,,,,
0.12261358599971572,0x300,1,17,,,,,,,
0.12981447800120804,0x100,2,84,0,,,,,,
0.13084256399997685,0x80,2,102,8,,,,,,
0.1338452750005672,0x300,1,18,,,,,,,
0.13964152200060198,0x100,2,85,0,,,,,,
0.14074487000107183,0x80,2,112,8,,,,,,
0.14204579800025385,0x300,1,12,,,,,,,
0.1496853420012485,0x100,2,86,0,,,,,,
0.15242335200127854,0x80,2,122,8,,,,,,
0.15248972200060962,0x300,1,13,,,,,,,
0.16251403100068273,0x100,2,87,0,,,,,,
0.162580488000458,0x80,2,132,8,,,,,,
0.16324141000040981,0x300,1,14,,,,,,,
0.16960532600023726,0x100,2,88,0,,,,,,
0.17054222200022195,0x80,2,142,8,,,,,,
0.17471694500090962,0x300,1,14,,,,,,,
0.17968517700137454,0x100,2,89,0,,,,,,
0.1797493169997324,0x80,2,152,8,,,,,,
0.18551735000073677,0x300,1,14,,,,,,,
0.18980683900008444,0x100,2,90,0,,,,,,
0.18986413200036623,0x80,2,162,8,,,,,,
0.19369542999993428,0x300,1,15,,,,,,,
0.19935728699965694,0x100,2,91,0,,,,,,
0.19975130500097293,0x80,2,172,8,,,,,,
0.20303939600125886,0x300,1,16,,,,,,,
0.2179152629996679,0x80,2,182,8,,,,,,
0.21805476900044596,0x300,1,16,,,,,,,
0.21809171700078878,0x100,2,92,0,,,,,,
0.220197898999686,0x80,2,192,8,,,,,,
0.2251773250009137,0x100,2,93,0,,,,,,
0.22725340200122446,0x300,1,16,,,,,,,
0.22942807400067977,0x100,2,94,0,,,,,,
0.23009631400054786,0x80,2,202,8,,,,,,
0.23209647499970743,0x300,1,17,,,,,,,
0.24034368499997072,0x100,2,95,0,,,,,,
0.2407523840010981,0x80,2,212,8,,,,,,
0.2427936870008125,0x300,1,18,,,,,,,
0.2504473019998841,0x80,2,222,8,,,,,,
0.2523822230014048,0x300,1,12,,,,,,,
